source_id,sequence,source_name,source_category,local_xml_url,xml_url,feed_url,url_mode,screen,status,total_items,new_items,duplicate_items,screened_items,recommended_items_from_api_response,new_items_recommended,new_event_items,incremental_items,silent_items,failed_items,error_type,error_message,fetch_feed_seconds,llm_basic_screening_seconds,llm_need_matching_seconds,embedding_seconds,lock_wait_seconds,lock_held_seconds,source_total_seconds
"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/1033890839"", ""local_xml_url"": """", ""row_index"": 2, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-1033890839"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/1033890839""}",1,bilibili-user-1033890839,bilibili,,http://127.0.0.1:1200/bilibili/user/video/1033890839,http://127.0.0.1:1200/bilibili/user/video/1033890839,remote,False,success,5,0,5,0,2,unknown,0,0,4,0,,,2.36,,,,0.0,0.006,2.383
"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/25073738"", ""local_xml_url"": """", ""row_index"": 3, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-25073738"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/25073738""}",2,bilibili-user-25073738,bilibili,,http://127.0.0.1:1200/bilibili/user/video/25073738,http://127.0.0.1:1200/bilibili/user/video/25073738,remote,False,success,5,0,5,0,0,unknown,0,0,5,0,,,2.634,,,,0.0,0.006,2.653
"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/19319172"", ""local_xml_url"": """", ""row_index"": 4, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-19319172"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/19319172""}",3,bilibili-user-19319172,bilibili,,http://127.0.0.1:1200/bilibili/user/video/19319172,http://127.0.0.1:1200/bilibili/user/video/19319172,remote,False,success,5,0,5,0,4,unknown,0,0,2,0,,,2.82,,,,0.0,0.008,2.848
"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/1858861103"", ""local_xml_url"": """", ""row_index"": 5, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-1858861103"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/1858861103""}",4,bilibili-user-1858861103,bilibili,,http://127.0.0.1:1200/bilibili/user/video/1858861103,http://127.0.0.1:1200/bilibili/user/video/1858861103,remote,False,success,5,0,5,0,1,unknown,0,0,5,0,,,2.643,,,,0.0,0.006,2.664
"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/470585121"", ""local_xml_url"": """", ""row_index"": 6, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-470585121"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/470585121""}",5,bilibili-user-470585121,bilibili,,http://127.0.0.1:1200/bilibili/user/video/470585121,http://127.0.0.1:1200/bilibili/user/video/470585121,remote,False,success,5,0,5,0,3,unknown,0,0,4,0,,,1.991,,,,0.0,0.005,2.013
"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/1288663494"", ""local_xml_url"": """", ""row_index"": 7, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-1288663494"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/1288663494""}",6,bilibili-user-1288663494,bilibili,,http://127.0.0.1:1200/bilibili/user/video/1288663494,http://127.0.0.1:1200/bilibili/user/video/1288663494,remote,False,success,5,0,5,0,1,unknown,0,0,5,0,,,1.453,,,,0.0,0.007,1.473
"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/252411834"", ""local_xml_url"": """", ""row_index"": 8, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-252411834"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/252411834""}",7,bilibili-user-252411834,bilibili,,http://127.0.0.1:1200/bilibili/user/video/252411834,http://127.0.0.1:1200/bilibili/user/video/252411834,remote,False,success,5,0,5,0,4,unknown,0,0,5,0,,,1.846,,,,0.0,0.006,1.867
"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/431850986"", ""local_xml_url"": """", ""row_index"": 9, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-431850986"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/431850986""}",8,bilibili-user-431850986,bilibili,,http://127.0.0.1:1200/bilibili/user/video/431850986,http://127.0.0.1:1200/bilibili/user/video/431850986,remote,False,success,5,0,5,0,4,unknown,0,0,3,0,,,1.913,,,,0.0,0.005,1.932
"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/476051104"", ""local_xml_url"": """", ""row_index"": 10, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-476051104"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/476051104""}",9,bilibili-user-476051104,bilibili,,http://127.0.0.1:1200/bilibili/user/video/476051104,http://127.0.0.1:1200/bilibili/user/video/476051104,remote,False,success,5,0,5,0,2,unknown,0,0,2,0,,,1.376,,,,0.0,0.006,1.392
"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/17780825"", ""local_xml_url"": """", ""row_index"": 11, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-17780825"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/17780825""}",10,bilibili-user-17780825,bilibili,,http://127.0.0.1:1200/bilibili/user/video/17780825,http://127.0.0.1:1200/bilibili/user/video/17780825,remote,False,success,5,0,5,0,2,unknown,0,0,5,0,,,1.48,,,,0.0,0.006,1.501
